titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
movie,Nina,Nina,0,2016,\N,90,"Biography,Drama,Music"
tvMovie,"The I Do Diaries: Beg, Borrow & Steal","The I Do Diaries: Beg, Borrow & Steal",0,2010,\N,60,Reality-TV
movie,CHIPS,CHIPS,0,2017,\N,100,"Action,Comedy,Crime"
movie,Ramona and Beezus,Ramona and Beezus,0,2010,\N,103,"Adventure,Comedy,Family"
movie,Good Sharma,Good Sharma,0,2010,\N,100,Drama
movie,Bad Blood,Bad Blood,0,2012,\N,107,"Horror,Mystery,Romance"
movie,O Inimigo Sem Rosto,O Inimigo Sem Rosto,0,2010,\N,85,"Crime,Drama"
movie,Prisoners of the Sun,Prisoners of the Sun,0,2013,\N,85,"Action,Adventure,Horror"
videoGame,Darkstar: The Interactive Movie,Darkstar: The Interactive Movie,0,2010,\N,\N,"Action,Adventure,Mystery"
tvSeries,Comentário Geral,Comentário Geral,0,2010,\N,\N,News
movie,The Hero of Color City,The Hero of Color City,0,2014,\N,77,"Animation,Family"
movie,Rings,Rings,0,2017,\N,102,"Drama,Horror,Romance"
tvSeries,The Nine Lives of Chloe King,The Nine Lives of Chloe King,0,2011,2011,60,"Action,Adventure,Crime"
movie,Tranced,Tranced,0,2010,\N,\N,"Drama,Fantasy,Romance"
tvEpisode,Episode dated 28 November 2010,Episode dated 28 November 2010,0,2010,\N,\N,"Drama,Romance"
tvEpisode,Sex and Violence,Sex and Violence,0,2016,\N,\N,"Drama,Sci-Fi"
tvEpisode,Xô Perereca,Xô Perereca,0,2010,\N,32,Comedy
tvEpisode,Death Climb,Death Climb,0,2011,\N,42,"Biography,Documentary,Drama"
tvEpisode,The Ego Show,The Ego Show,0,2014,\N,\N,"Comedy,Drama"
tvEpisode,Episode #1.16,Episode #1.16,0,2012,\N,\N,"Comedy,News,Talk-Show"
movie,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),0,2010,\N,116,"Biography,Documentary,Music"
movie,Love & Other Drugs,Love & Other Drugs,0,2010,\N,112,"Comedy,Drama,Romance"
movie,Syrup,Syrup,0,2013,\N,90,"Comedy,Drama,Romance"
movie,A Thousand Words,A Thousand Words,0,2012,\N,91,"Comedy,Drama"
movie,Escape from Planet Earth,Escape from Planet Earth,0,2013,\N,89,"Adventure,Animation,Comedy"
movie,Have You Seen Me?,Have You Seen Me?,0,2016,\N,\N,Comedy
movie,Horrorween,Horrorween,0,2011,\N,\N,"Comedy,Horror"
movie,The Legend of Secret Pass,The Legend of Secret Pass,0,2010,\N,92,"Animation,Family,Fantasy"
movie,Waste of Space,Waste of Space,0,2010,\N,78,"Adventure,Comedy,Sci-Fi"
tvEpisode,Episode #5.45,Episode #5.45,0,2011,\N,\N,Drama
movie,Me and My Umbrella,Eu e Meu Guarda-Chuva,0,2010,\N,78,"Family,Fantasy"
movie,Night of the Templar,Night of the Templar,0,2013,\N,101,"Horror,Mystery"
movie,What's Your Number?,What's Your Number?,0,2011,\N,106,"Comedy,Romance"
movie,California Indian,California Indian,0,2011,\N,90,Drama
movie,King of the Avenue,King of the Avenue,0,2010,\N,83,"Drama,Fantasy,Thriller"
movie,Samsara,Samsara,0,2011,\N,102,"Documentary,Music"
movie,Till You Get to Baraboo,Till You Get to Baraboo,0,2011,\N,80,"Comedy,Romance"
movie,Man of Steel,Man of Steel,0,2013,\N,143,"Action,Adventure,Fantasy"
movie,Jersey Justice,Jersey Justice,0,2014,\N,100,"Action,Thriller"
movie,Kill,Kill,0,2011,\N,90,"Comedy,Horror,Thriller"
movie,The Chosen Heaven,El cielo elegido,0,2010,\N,123,"Drama,Thriller"
movie,Cell,Cell,0,2016,\N,98,"Action,Drama,Horror"
movie,The Rain Fairy,Destová víla,0,2010,\N,100,"Family,Fantasy"
movie,The Illusionist,L'illusionniste,0,2010,\N,80,"Animation,Drama"
movie,Night Catches Us,Night Catches Us,0,2010,\N,90,"Drama,Romance"
movie,Drive,Drive,0,2011,\N,100,"Crime,Drama"
tvSeries,The Being Experience: The Prologue,In the Woods,0,2013,\N,100,Mystery
movie,Kid Cannabis,Kid Cannabis,0,2014,\N,110,"Biography,Comedy,Crime"
